Supplier,Website,Email,Framework,Borough,Councils Named,Council Access Basis,Companies House No,Notice ID,Awarded Date,Contact Status,Notes,Check
Sanctuary Supported Living,https://www.sanctuary-supported-living.co.uk/,Contact form: https://www.sanctuary-supported-living.co.uk/contact-us,Accommodation and Support for Adults,Barnet,Barnet,Commissioning council only - no participating authorities named in the notice,,MT197433,31/03/2017,web research (high),"Website correct (Sanctuary Supported Living is a trading name within Sanctuary Group). The only email on the contact page is pr@sanctuary.co.uk (media enquiries), so it was removed; general contact is by web form.",
The Barnet Group,https://thebarnetgroup.org/,info@thebarnetgroup.org,Accommodation and Support for Adults,Barnet,Barnet,Commissioning council only - no participating authorities named in the notice,,MT197433,31/03/2017,verified (existing data),,
Voyage Care,https://www.voyagecare.com,referrals@voyagecare.com,Accommodation and Support for Adults,Barnet,Barnet,Commissioning council only - no participating authorities named in the notice,,MT197433,31/03/2017,verified (existing data),,
Walsingham Support,https://www.walsingham.com/,enquiries@walsingham.com,Accommodation and Support for Adults,Barnet,Barnet,Commissioning council only - no participating authorities named in the notice,,MT197433,31/03/2017,verified (existing data),,
Bexletts Ltd,https://www.ashtonreeves.co.uk/,info@ashtonreeves.co.uk,Management & Provision of Emergency Temporary Accommodation,Bexley,Bexley,commissioning council only,,9db83d47-6e3d-4a9e-8bda-e3f20206b57b,2018-11-19,web research (low),"Contracts Finder harvest: Rules 1-3: emergency temporary accommodation provision & management, multi-supplier; Estate/letting agent; bexletts.co.uk now redirects to Ashton Reeves (Bexley). Bexletts Ltd (CH 06719810, E11, real estate agency) active but Bexley/Sidcup subsidiaries dissolved Jun 2026; link between Bexletts Ltd and Ashton Reeves not confirmed - verify.",
cromwood,https://cromwood.co.uk/,info@cromwood.co.uk,Management & Provision of Emergency Temporary Accommodation,Bexley,Bexley,commissioning council only,,9db83d47-6e3d-4a9e-8bda-e3f20206b57b,2018-11-19,web research (high),"Contracts Finder harvest: Rules 1-3: emergency temporary accommodation provision & management, multi-supplier; Lettings/temporary accommodation provider to London councils (Cromwood Ltd) plus a registered provider arm (Cromwood Housing Ltd), E5. Contact page also lists lettings@ and property@.",
First Stop Housing / My Life Semi Independent Project,https://www.mylife.uk.net/,admin@mylife.uk.net,Management & Provision of Emergency Temporary Accommodation,Bexley,Bexley,commissioning council only,,9db83d47-6e3d-4a9e-8bda-e3f20206b57b,2018-11-19,web research (high),"Contracts Finder harvest: Rules 1-3: emergency temporary accommodation provision & management, multi-supplier; 16-25 semi-independent accommodation for care leavers (My Life Semi-Independent Project Ltd CH 08255352); First Stop Housing Solutions Ltd (CH 07047482) shares the same registered office, so same group.",
House To Home Lettings,https://www.h2hlettings.com/,info@h2hlettings.com,Management & Provision of Emergency Temporary Accommodation,Bexley,Bexley,commissioning council only,,9db83d47-6e3d-4a9e-8bda-e3f20206b57b,2018-11-19,web research (high),"Contracts Finder harvest: Rules 1-3: emergency temporary accommodation provision & management, multi-supplier; Lettings/guaranteed-rent temporary accommodation provider working with Bexley, Basildon, Thurrock councils (CH 07418043, Erith).",
Depaul UK,https://www.depaul.org.uk/,depaul@depaulcharity.org.uk,Housing Related Support Services (HRS): Multi Lot( ASC-2021-003),Brent,Brent,Commissioning council only - no participating authorities named in the notice,,LBBRENT001-DN521382-25579189,11/12/2021,web research (high),Email published on depaul.org.uk/contact-us,
Elders Voice,https://www.eldersvoice.org.uk/,info@eldersvoice.org.uk,Housing Related Support Services (HRS): Multi Lot( ASC-2021-003),Brent,Brent,Commissioning council only - no participating authorities named in the notice,,LBBRENT001-DN521382-25579189,11/12/2021,web research (high),"Brent charity for older people (charity 1091519), 181 Mortimer Road NW10.",
Hestia Housing and Support,https://www.hestia.org,info@hestia.org,Housing Related Support Services (HRS): Multi Lot( ASC-2021-003),Brent,Brent,Commissioning council only - no participating authorities named in the notice,,LBBRENT001-DN521382-25579189,11/12/2021,verified (existing data),,
Look Ahead Housing and Care,https://www.lookahead.org.uk,getintouch@lookahead.org.uk,Housing Related Support Services (HRS): Multi Lot( ASC-2021-003),Brent,Brent,Commissioning council only - no participating authorities named in the notice,,LBBRENT001-DN521382-25579189,11/12/2021,verified (existing data),,
Hestia Housing and Support,https://www.hestia.org,info@hestia.org,"ACCOMMODATION, SUPPORT AND TENANCY SUSTAINMENT SERVICES",Bromley,Bromley,Commissioning council only - no participating authorities named in the notice,,LBROM001-DN604336-81633164,20/10/2022,verified (existing data),Single-award contract kept: accommodation for 9 ex-offenders plus 100 tenancies,
Certitude (Southside Partnership),https://certitude.org.uk/,referrals@certitude.org.uk,Adult Social Care Services - Learning Disability Services,Bromley,Bromley,Commissioning council only - no participating authorities named in the notice,,ECHS Adult Social Care,31/07/2015,web research (high),"Single-award contract kept: learning disability services incl. supported living across the borough; Certitude's current domain is certitude.org.uk (certitude.london is the older domain). The existing matt@honcho.agency is the web agency's credit, not Certitude. referrals@certitude.org.uk is on the 'how to get support' page.; Supported living contract over £10m - includes housing",
Diagrama Healthcare Services Ltd,https://diagramafoundation.org.uk/,supportedliving@diagrama.org.uk,Provision of Supported Living Services,Bromley,Bromley,Commissioning council only - no participating authorities named in the notice,,LBROM001-DN503647-13289517,10/02/2021,web research (high),"Single-award contract kept: supported living across 9 properties; Diagrama Healthcare Services Limited (09262083) shares Airport House, Croydon registered office with Diagrama Foundation entities. Bromley page lists supportedliving@diagrama.org.uk (Bromley supported living since 2021); general info@diagrama.org.uk also on site.; Supported living contract over £10m - includes housing",
Bromley & Croydon Women's Aid,https://bcwa.org.uk/,info@bcwa.org.uk,SUPPORT & TENANCY SUSTAINMENT SERVICES FOR WOMEN IN REFUGES,Bromley,Bromley,Commissioning council only - no participating authorities named in the notice,,LBROM001-DN562196-65947517,22/12/2021,web research (high),Single-award contract kept: refuge accommodation; Charity 1068007; Companies House 03320296. General enquiries email per contact page; tel 0208 313 9303.,
Depaul UK,https://www.depaul.org.uk/,depaul@depaulcharity.org.uk,SUPPORTED ACCOMMODATION AND TENANCY SUSTAINMENT SERVICES FOR YOUNG PEOPLE,Bromley,Bromley,Commissioning council only - no participating authorities named in the notice,,LBROM001-DN599064-40642578,05/05/2022,web research (high),Single-award contract kept: supported accommodation for young people across the borough; Email published on depaul.org.uk/contact-us,
Avenues Group,https://www.avenuesgroup.org.uk/,info@avenuesgroup.org.uk,Supported Living Services in Bromley,Bromley,Bromley,Commissioning council only - no participating authorities named in the notice,,LBROM001-DN529137-55979484,08/11/2021,verified (existing data),Supported living contract over £10m - includes housing,
Brandon Trust,https://www.brandontrust.org/,info@brandontrust.org,Supported Living Services in Bromley,Bromley,Bromley,Commissioning council only - no participating authorities named in the notice,,LBROM001-DN529137-55979484,08/11/2021,verified (existing data),Supported living contract over £10m - includes housing,
Lewisham Nexus Service,https://everystory.org.uk/,enquiries@everystory.org.uk,Supported Living Services in Bromley,Bromley,Bromley,Commissioning council only - no participating authorities named in the notice,,LBROM001-DN529137-55979484,08/11/2021,web research (high),"Existing values correct: Lewisham Nexus merged with Aurora Options in 2021 (Aurora Nexus) and rebranded as EveryStory in Aug 2025 (charity 1035083, company 02786035).; Supported living contract over £10m - includes housing",
The Regard Partnership Ltd,https://www.achievetogether.co.uk/,info@achievetogether.co.uk,Supported Living Services in Bromley,Bromley,Bromley,Commissioning council only - no participating authorities named in the notice,,LBROM001-DN529137-55979484,08/11/2021,web research (medium),The Regard Partnership merged with CMG in 2018 to form Achieve Together; regard.co.uk is defunct ('This site doesn't exist here'). The existing values were a Surrey council directory. referrals@achievetogether.co.uk is also on the contact page.; Supported living contract over £10m - includes housing,"homecare and housing both on homepage (homecare 4, housing 8)"
The Riverside Group Limited,https://www.riverside.org.uk/,Contact form: https://www.riverside.org.uk/contact-and-feedback/contact-us,Tenancy Support Services for Homeless People,Bromley,Bromley,Commissioning council only - no participating authorities named in the notice,30938R,CDB5160,20/10/2021,web research (medium),"Single-award contract kept: local accommodation for homeless households; Riverside runs Bromley Supported Housing (47-49 Plaistow Lane BR1 3HH); referrals come via Bromley council. Contact page offers an email form, live chat and 0345 111 0000. together@riverside.org.uk and info@riverside.org.uk appear in third-party snippets but could not be verified on the Riverside site (fetches blocked or page shows form only), so left blank.",
Bromley Women’s Aid,https://bcwa.org.uk/,info@bcwa.org.uk,Tenancy Sustainment Services for Women in Refuges,Bromley,Bromley,Commissioning council only - no participating authorities named in the notice,,9ZRC –J4RPBW,02/12/2015,web research (high),"Single-award contract kept: 37 refuge units in 6 properties; Renamed Bromley & Croydon Women's Aid in April 2016 (charity 1068007, previous name Bromley Womens Aid). Same organisation as Bromley & Croydon Women's Aid.",
Depaul UK,https://www.depaul.org.uk/,depaul@depaulcharity.org.uk,Tenancy Sustainment Services for Young People in Supported Accommodation,Bromley,Bromley,Commissioning council only - no participating authorities named in the notice,,BIP217717483,29/07/2016,web research (high),Single-award contract kept: 59 units of supported accommodation; Email published on depaul.org.uk/contact-us,
Single Homeless Project,https://www.shp.org.uk/,info@shp.org.uk,Adult Pathway Services - Phase 2,Camden,Camden,Commissioning council only - no participating authorities named in the notice,,20220215163116-28,01/02/2022,verified (existing data),,
Solace Women's Aid,https://www.solacewomensaid.org,info@solacewomensaid.org,Adult Pathway Services - Phase 2,Camden,Camden,Commissioning council only - no participating authorities named in the notice,,20220215163116-28,01/02/2022,verified (existing data),,
St Mungo's,https://www.mungos.org,info@mungos.org,Adult Pathway Services - Phase 2,Camden,Camden,Commissioning council only - no participating authorities named in the notice,,20220215163116-28,01/02/2022,verified (existing data),,
St Mungo's,https://www.mungos.org,info@mungos.org,Housing related support for single adults with medium to high level complex needs living in Birkenhead Street / Endell Street /Endsleigh Gardens properties in Camden,Camden,Camden,Commissioning council only - no participating authorities named in the notice,,20190802080120-28,23/07/2019,verified (existing data),Single-award contract kept: adult pathway accommodation for single homeless people,
Certitude Support,https://certitude.org.uk/,referrals@certitude.org.uk,Learning Disabilities Supported Living,Camden,Camden,Commissioning council only - no participating authorities named in the notice,,20220217140454-28,10/03/2020,web research (high),"Certitude's current domain is certitude.org.uk (certitude.london is the older domain). The existing matt@honcho.agency is the web agency's credit, not Certitude. referrals@certitude.org.uk is on the 'how to get support' page.",
Creative Support Ltd,https://www.creativesupport.co.uk,enquiries@creativesupport.co.uk,Learning Disabilities Supported Living,Camden,Camden,Commissioning council only - no participating authorities named in the notice,,20220217140454-28,10/03/2020,verified (existing data),,
Learning Disability Network London Limited,https://www.ldnlondon.org/find-support/ldn-community-hub/,hello@ldnlondon.org,Learning Disabilities Supported Living,Camden,Camden,Commissioning council only - no participating authorities named in the notice,,20220217140454-28,10/03/2020,verified (existing data),,
One Housing Group,https://www.riverside.org.uk/,info@riverside.org.uk,Mental Health High Suported Living - Central and Maygrove,Camden,Camden,Commissioning council only - no participating authorities named in the notice,,20200923120032-28,24/08/2020,web research (medium),Single-award contract kept: two mental health supported living services (Central and Maygrove); One Housing merged into Riverside; same details as other One Housing rows,
St Mungo Community Housing Association,https://www.mungos.org,info@mungos.org,Mental Health Supported Living Service - South,Camden,Camden,Commissioning council only - no participating authorities named in the notice,,20200920173030-28,10/08/2020,verified (existing data),Single-award contract kept: supported living service across south Camden (pathway),
Centrepoint Soho,https://www.centrepoint.org,info@centrepoint.org,Young People Pathway,Camden,Camden,Commissioning council only - no participating authorities named in the notice,,20181115083047-28,30/10/2018,verified (existing data),,
Depaul UK,https://www.depaul.org.uk/,depaul@depaulcharity.org.uk,Young People Pathway,Camden,Camden,Commissioning council only - no participating authorities named in the notice,,20181115083047-28,30/10/2018,web research (high),Email published on depaul.org.uk/contact-us,
One Housing Group,https://www.riverside.org.uk/,info@riverside.org.uk,Young People Pathway,Camden,Camden,Commissioning council only - no participating authorities named in the notice,,20181115083047-28,30/10/2018,web research (medium),One Housing merged into Riverside; same details as other One Housing rows,
St Christopher's Fellowship,https://www.stchris.org.uk/,referrals@stchris.org.uk,Young People Pathway,Camden,Camden,Commissioning council only - no participating authorities named in the notice,,20181115083047-28,30/10/2018,web research (high),Email seen on stchris.org.uk/get-in-touch,
16 Plus Team Limited trading as The Artemis Team,http://www.theartemisteam.com/,support@theartemisteam.com,16+ Semi Independent Accommodation and Support Services,Croydon,Croydon,Commissioning council only - no participating authorities named in the notice,,556/2016,20/12/2016,verified (existing data),,
Above Beyond Care Ltd,https://www.abovebeyondcare.com/,info@abovebeyondcare.com,16+ Semi Independent Accommodation and Support Services,Croydon,Croydon,Commissioning council only - no participating authorities named in the notice,,556/2016,20/12/2016,web research (medium),"Above Beyond Care (ABC), 16-18 semi-independent accommodation and support, office 28 Shaftesbury Circle, Harrow HA2 0AT; email in site footer. Name and service type match a Croydon children's accommodation award, but no Croydon-specific reference found. Not the Ipswich home care firm Above & Beyond Care Ltd.",
AG Social Care Ltd,https://www.agsocialcare.co.uk/,admin@agsocialcare.co.uk,16+ Semi Independent Accommodation and Support Services,Croydon,Croydon,Commissioning council only - no participating authorities named in the notice,,556/2016,20/12/2016,web research (high),"A.G. Social Care Ltd (CH 05950612), 2-4 Park Street, Croydon CR0 1YE. Existing caremanagementmatters URL was wrong.",
Asphaleia Ltd,https://www.asphaleia.co.uk/accommodation-services,referrals@asphaleia.co.uk,16+ Semi Independent Accommodation and Support Services,Croydon,Croydon,Commissioning council only - no participating authorities named in the notice,,556/2016,20/12/2016,verified (existing data),,
CAYSH,http://www.caysh.org/,info@caysh.org,16+ Semi Independent Accommodation and Support Services,Croydon,Croydon,Commissioning council only - no participating authorities named in the notice,,556/2016,20/12/2016,verified (existing data),,
Dunfield and Mead Ltd,https://dunfieldandmead.co.uk/,info@dunfieldandmead.com,16+ Semi Independent Accommodation and Support Services,Croydon,Croydon,Commissioning council only - no participating authorities named in the notice,,556/2016,20/12/2016,verified (existing data),,
Eric Patrick Care Ltd,http://www.epcare.co.uk/,info@epcare.co.uk,16+ Semi Independent Accommodation and Support Services,Croydon,Croydon,Commissioning council only - no participating authorities named in the notice,,556/2016,20/12/2016,web research (high),"Eric Patrick Care Ltd (CH 08276946, Croydon registered office): EPCare / Accommodation Plus, supported housing for 16-21 care leavers; email in site footer. Site is basic and only supports HTTP.",
Explore Independence Ltd,https://exploreindependenceltd.com/,info@exploreuk.co.uk,16+ Semi Independent Accommodation and Support Services,Croydon,Croydon,Commissioning council only - no participating authorities named in the notice,,556/2016,20/12/2016,web research (medium),"Explore Independence Ltd (CH 08323337, Loughton) provides London supported accommodation for 16+. info@exploreuk.co.uk is published on its own site despite the different domain, so the existing values were correct.",
Finefair Ltd,https://www.finefair.com/public-sectors/care-and-support-services/,info@finefair.com,16+ Semi Independent Accommodation and Support Services,Croydon,Croydon,Commissioning council only - no participating authorities named in the notice,,556/2016,20/12/2016,verified (existing data),,
IAspire Care Services Ltd,http://www.iaspire.co.uk/,hr@iaspire.co.uk,16+ Semi Independent Accommodation and Support Services,Croydon,Croydon,Commissioning council only - no participating authorities named in the notice,,556/2016,20/12/2016,verified (existing data),,
Jordan Xavier Ltd,http://jordanxavier.co.uk/,info@jordanxavier.co.uk,16+ Semi Independent Accommodation and Support Services,Croydon,Croydon,Commissioning council only - no participating authorities named in the notice,,556/2016,20/12/2016,verified (existing data),,
Look Ahead Care and Support,http://www.lookahead.org.uk/,getintouch@lookahead.org.uk,16+ Semi Independent Accommodation and Support Services,Croydon,Croydon,Commissioning council only - no participating authorities named in the notice,,556/2016,20/12/2016,verified (existing data),,
Netpex Limited,https://netpex.co.uk/,referrals@netpex.co.uk,16+ Semi Independent Accommodation and Support Services,Croydon,Croydon,Commissioning council only - no participating authorities named in the notice,,556/2016,20/12/2016,verified (existing data),,
OWNLIFE LTD,https://www.ownlife.org.uk/,hr@ownlife.org.uk,16+ Semi Independent Accommodation and Support Services,Croydon,Croydon,Commissioning council only - no participating authorities named in the notice,,556/2016,20/12/2016,verified (existing data),,
Pangea Support Services Limited,https://www.pangeasupport.com/,info@pangeasupport.com,16+ Semi Independent Accommodation and Support Services,Croydon,Croydon,Commissioning council only - no participating authorities named in the notice,,556/2016,20/12/2016,verified (existing data),,
Silver Birch Care Limited,https://silverbirchcare.com/,supportedreferrals@sbc-holdings-limited.com,16+ Semi Independent Accommodation and Support Services,Croydon,Croydon,Commissioning council only - no participating authorities named in the notice,,556/2016,20/12/2016,web research (high),Existing values correct. Silver Birch Care is owned by Silver Birch Care (Holdings) Ltd (SBC Holdings); the referrals address on the parent's domain is published on silverbirchcare.com's contact page and homepage.,
Step Ahead Services Ltd,http://www.step-a-head.co.uk/,Info@step-a-head.co.uk,16+ Semi Independent Accommodation and Support Services,Croydon,Croydon,Commissioning council only - no participating authorities named in the notice,,556/2016,20/12/2016,verified (existing data),,
Transforming Lives Company,https://transform-lives.org/,teamtlc@transform-lives.org,16+ Semi Independent Accommodation and Support Services,Croydon,Croydon,Commissioning council only - no participating authorities named in the notice,,556/2016,20/12/2016,verified (existing data),,
Young London Today,https://www.young-london.org/,info@young-london.org,16+ Semi Independent Accommodation and Support Services,Croydon,Croydon,Commissioning council only - no participating authorities named in the notice,,556/2016,20/12/2016,web research (medium),"Supported accommodation and semi-independent services, 79a Park Lane, Croydon CR0 1JG. info@young-london.org is in the site's contact page HTML (the server returned 503 but served the page). A search snippet also cites support@young-london.org, which could not be confirmed on the page.",
Youthlinx Ltd,http://youthlinx.co.uk/,No email or contact form found on website,16+ Semi Independent Accommodation and Support Services,Croydon,Croydon,Commissioning council only - no participating authorities named in the notice,,556/2016,20/12/2016,web research (low),"Youthlinx Ltd (CH 10154587, active): supported accommodation for looked-after young people and asylum seekers. Search results show youthlinx.co.uk as its site, but it returned 503 or a Cloudflare challenge on every fetch, so contents and email could not be verified. Consider rechecking later.",
Asphaleia,https://www.asphaleia.co.uk/accommodation-services,referrals@asphaleia.co.uk,830/2019 - Dynamic Purchasing System (DPS) for Health and Social Care. DPS 3 - Independent Living,Croydon,Croydon,Commissioning council only - no participating authorities named in the notice,,CROYD001-DN434334-35525003,11/02/2021,verified (existing data),,
Barnardo's,https://www.barnardos.org.uk/get-support/services/barnardos-nurture-service-inverclyde-thrive-your-time,Contact form: https://www.barnardos.org.uk/contact-us,830/2019 - Dynamic Purchasing System (DPS) for Health and Social Care. DPS 3 - Independent Living,Croydon,Croydon,Commissioning council only - no participating authorities named in the notice,,CROYD001-DN434334-35525003,11/02/2021,verified (existing data),,
CAYSH,http://www.caysh.org/,info@caysh.org,830/2019 - Dynamic Purchasing System (DPS) for Health and Social Care. DPS 3 - Independent Living,Croydon,Croydon,Commissioning council only - no participating authorities named in the notice,,CROYD001-DN434334-35525003,11/02/2021,verified (existing data),,
Evolve Housing & Support,https://www.evolvehousing.org.uk/,enquiries@evolvehousing.org.uk,830/2019 - Dynamic Purchasing System (DPS) for Health and Social Care. DPS 3 - Independent Living,Croydon,Croydon,Commissioning council only - no participating authorities named in the notice,,CROYD001-DN434334-35525003,11/02/2021,verified (existing data),,
Green Harvest Capital Consulting Ltd,http://www.greenharvestcc.com/,admin@greenharvestcc.com,830/2019 - Dynamic Purchasing System (DPS) for Health and Social Care. DPS 3 - Independent Living,Croydon,Croydon,Commissioning council only - no participating authorities named in the notice,,CROYD001-DN434334-35525003,11/02/2021,verified (existing data),,
JEM Support,https://www.jem.services/,info@jem.services,830/2019 - Dynamic Purchasing System (DPS) for Health and Social Care. DPS 3 - Independent Living,Croydon,Croydon,Commissioning council only - no participating authorities named in the notice,,CROYD001-DN434334-35525003,11/02/2021,web research (medium),"Jem Support Services Ltd CH 11235635 (active), 1 Market Street SE18 6FU - 16+ supported accommodation, fits a Croydon youth accommodation contract. Caution: a separate JEM SUPPORT LIMITED (CH 16812867, Dagenham, inc. Oct 2025) also exists with no web presence found.",
Look Ahead Housing and Care,https://www.lookahead.org.uk,getintouch@lookahead.org.uk,830/2019 - Dynamic Purchasing System (DPS) for Health and Social Care. DPS 3 - Independent Living,Croydon,Croydon,Commissioning council only - no participating authorities named in the notice,,CROYD001-DN434334-35525003,11/02/2021,verified (existing data),,
