company_name,domain,website_url,email,phone,primary_category,sectors,in_network,total_contracts,councils_count,councils_top,regions,tier_hint
Caretech Community Services,caretech-uk.com,https://www.caretech-uk.com/,info@caretech-uk.com,+44 20 8269 0693,Supported living,Asylum housing | Community accommodation | Homecare | Housing | Supported accommodation | Supported living,,23,21,Cambridgeshire County Council | Bristol City Council | Sheffield City Council | The Royal Borough of Kingston upon Thames | Wolverhampton City Council,East Midlands | East of England | London | National | North West | South East | South West | West Midlands | Yorkshire & The Humber,National
Catalyst Housing,catalystcare.co.uk,https://www.catalystcare.co.uk/,customerservice@peabody.org.uk,+44 300 123 3456,Supported living,Homecare | Housing | Supported accommodation | Supported living,,4,2,Luton Council | Ealing,East of England | London,Local
Certitude,certitude.london,https://certitude.london,info@certitude.london,020 3397 3033,Supported living,Adults | Autism | Housing | Learning disabilities | Supported living,,1,4,London Borough of Hounslow | Royal Borough of Kensington and Chelsea | Westminster City Council | London Borough of Richmond upon Thames,London,Local
Cheercare Supported Services,westminster.gov.uk,https://www.westminster.gov.uk/health-and-social-care,adultsocialcare@westminster.gov.uk,020 7641 6000,Supported living,Housing | Supported accommodation | Supported living,,1,2,Westminster City Council | Warwickshire County Council,London | West Midlands,Regional
Clearsprings Ready Homes,ready-homes.co.uk,https://www.ready-homes.co.uk/,enquiries@clearsprings.co.uk,+44 1268 740200,Emergency accommodation,Asylum housing | Dispersal accommodation | Emergency accommodation | Housing,,1,2,Southampton City Council | Home Office,London | South East | South West,Local
Cocoon Group Services,cocoongroupservices.com,https://www.cocoongroupservices.com,info@cocoongroupservices.com,020 8351 0094,Supported living,Housing | Supported accommodation | Supported living,,1,1,London Borough of Waltham Forest,London,Local
Comfort Zone Care Services,comfortzonecare.uk,https://www.comfortzonecare.uk/,info@comfortzonecare.uk,+44 1582 933363,Supported living,Homecare | Housing | Supported accommodation | Supported living,,3,2,Luton Council | Ealing,East of England | London,Local
Crown Social Care,crownsocialcare.org.uk,https://crownsocialcare.org.uk/enquiries,info@crownsocialcare.org.uk,+44 20 3771 2881,Supported living,Asylum housing | Community accommodation | Housing | Supported accommodation | Supported living,,3,4,Peterborough City Council | Cambridgeshire County Council | London Borough of Sutton | London Borough of Waltham Forest,East of England | London,Regional
Delphinus Healthcare,delphinushealthcare.com,https://www.delphinushealthcare.com/,DelphinusHealthcare@gmail.com,+44 7824 026645,Supported living,Homecare | Housing | Supported accommodation | Supported living,,2,2,The Royal Borough of Kingston upon Thames | Royal Borough of Kingston Upon Thames,London,Local
Dimensions Personalised Support,dimensions-uk.org,https://www.dimensions-uk.org,info@dimensions-uk.org,0300 303 9001,Supported living,Housing | Supported accommodation | Supported living,,1,1,Croydon,London,Local
Elliot Leigh TLC,elliotleigh.com,https://www.elliotleigh.com/tlc,tlc@elliotleigh.com,020 8514 6611,Supported living,Housing | Supported accommodation | Supported living,,1,1,London Borough of Waltham Forest,London,Local
Elysian Field,elysian-field.co.uk,http://elysian-field.co.uk/,hello@elysian-field.co.uk,+44 121 607 1946,Supported living,Community accommodation | Housing | Supported accommodation | Supported living,,1,4,Warwickshire County Council | Coventry City Council | Solihull Metropolitan Borough Council | Westminster City Council,London | West Midlands,Regional
Equinox Care,socialinterestgroup.org.uk,https://socialinterestgroup.org.uk,enquiries@socialinterestgroup.org.uk,020 3668 9270,Supported living,Housing | Mental health supported accommodation | Supported living,,1,1,London Borough of Brent,London,Local
Everyone Everywhere Care Services,everyoneeverywhere.co.uk,https://everyoneeverywhere.co.uk,info@everyoneeverywhere.co.uk,020 8496 3000,Supported living,Housing | Supported accommodation | Supported living,,1,1,London Borough of Waltham Forest,London,Local
Expert Link,expertlink.org.uk,https://expertlink.org.uk,info@expertlink.org.uk,01392 247 999,Emergency accommodation,Emergency accommodation | Emergency housing | Housing,,1,1,"Ministry of Housing, Communities and Local Government",,Local
Flexible Support Options,croydon.gov.uk,https://www.croydon.gov.uk/adult-social-care,contact@flexibleoptions.co.uk,+44 191 258 7254,Supported living,Homecare | Housing | Supported accommodation | Supported living,,3,2,South Tyneside Council | Croydon,London | North East,Local
Found8Tions Youth Support Services,foundationsyss.co.uk,https://www.foundationsyss.co.uk,info@foundationsyss.co.uk,0208 058 7055,Supported living,Housing | Supported accommodation | Supported living,,1,1,London Borough of Waltham Forest,London,Local
Fresh Start Care Services,freshstartcare.com,https://www.freshstartcare.com,info@freshstartcare.com,020 8496 3000,Supported living,Housing | Supported accommodation | Supported living,,1,1,London Borough of Waltham Forest,London,Local
Gateway Independent Living,walthamforest.gov.uk,https://www.walthamforest.gov.uk/adults-and-health,asc@walthamforest.gov.uk,020 8496 3000,Supported living,Housing | Supported accommodation | Supported living,,1,1,London Borough of Waltham Forest,London,Local
Genesis Living,genesis-living.com,https://genesis-living.com/,info@genesisliving.co.uk,+44 7488 848726,Supported living,Community accommodation | Housing | Supported accommodation | Supported living,,1,3,Northamptonshire County Council | Westminster City Council | Warwickshire County Council,East Midlands | London | West Midlands,Regional
Go Ahead Homes,goaheadhomes.com,https://goaheadhomes.com,info@goaheadhomes.com,0208 144 8888,Supported living,Housing | Supported accommodation | Supported living,,1,1,London Borough of Waltham Forest,London,Local
Greenwich Adults and Children Learning Disability Framework,royalgreenwich.gov.uk,https://www.royalgreenwich.gov.uk/info/200244/learning_disabilities,asccentral@royalgreenwich.gov.uk,020 8921 4477,Supported living,Extra care | Home care | Housing | Learning disabilities | Supported living,,1,1,Royal Borough of Greenwich,London,Local
Greenwich Living Options,royalgreenwich.gov.uk,https://www.royalgreenwich.gov.uk/info/200244/learning_disabilities/507/learning_disabilities,asccentral@royalgreenwich.gov.uk,020 8921 4477,Supported living,Adults | Housing | Learning disabilities | Supported living,,1,1,Royal Borough Of Greenwich,London,Local
Greenwich Mental Health High Support Accommodation,royalgreenwich.gov.uk,https://www.royalgreenwich.gov.uk/info/200244/mental_health,asccentral@royalgreenwich.gov.uk,020 8921 4477,Supported accommodation,Adults | Housing | Mental health | Supported accommodation,,1,1,Royal Borough of Greenwich,London,Local
Grove Social Care,grove-socialcare.co.uk,https://www.grove-socialcare.co.uk/,admin@grove-socialcare.co.uk,+44 1733 568444,Supported living,Community accommodation | Housing | Supported accommodation | Supported living,,3,8,Derby City Council | North Northamptonshire Council | Northamptonshire County Council | Nottinghamshire County Council | Peterborough City Council,East Midlands | East of England | London | West Midlands,Regional
Hackney AHI Supported Living Framework,hackney.moderngov.co.uk,https://hackney.moderngov.co.uk/ieDecisionDetails.aspx?Id=8210,adultsocialcare@hackney.gov.uk,020 8356 5000,Supported living,Adults | Housing | Residential care | Supported living,,1,1,London Borough of Hackney,London,Local
Hamletts,hamletts.com,https://www.hamletts.com,info@hamletts.com,020 7791 0044,Supported living,Housing | Supported accommodation | Supported living,,1,1,London Borough of Waltham Forest,London,Local
Harrow Mental Health Supported Accommodation Block Contract,harrow.gov.uk,https://www.harrow.gov.uk/adult-social-care,access.team@harrow.gov.uk,020 8901 2680,Supported accommodation,Adults | Housing | Mental health | Supported accommodation,,1,1,Harrow Council,London,Local
Hillside Care Services CIC,hillsidecare.co.uk,https://hillsidecare.co.uk,info@hillsidecare.co.uk,0121 554 3909,Supported living,Housing | Supported accommodation | Supported living,,1,1,Ealing,London,Local
Homes for Wandsworth,wandsworth.gov.uk,https://www.wandsworth.gov.uk/housing,housing@wandsworth.gov.uk,020 8871 6000,Supported living,Adults | Housing | Supported living,,1,1,London Borough of Wandsworth,London,Local
Hope Superjobs,hopesuperjobs.co.uk,https://hopesuperjobs.co.uk,info@hopesuperjobs.co.uk,020 8514 6611,Supported living,Housing | Supported accommodation | Supported living,,1,1,London Borough of Waltham Forest,London,Local
Inspiration Support Services,inspirationss.co.uk,https://www.inspirationss.co.uk,info@inspirationss.co.uk,020 8496 3000,Supported living,Housing | Supported accommodation | Supported living,,1,1,London Borough of Waltham Forest,London,Local
Itrust Agency,itrustcareservices.com,https://itrustcareservices.com/,admin@itrustcareservices.com,+44 1582 635047,Supported living,Homecare | Housing | Supported accommodation | Supported living,,2,2,Luton Council | Ealing,East of England | London,Local
Jakaranda Care,jakarandacare.co.uk,https://jakarandacare.co.uk,info@jakarandacare.co.uk,+44 20 3371 9248,Supported living,Community accommodation | Homecare | Housing | Supported accommodation | Supported living,,3,3,Luton Council | Northamptonshire County Council | Ealing,East Midlands | East of England | London,Regional
Jakky Care Group,jakkycaregroup.co.uk,https://www.jakkycaregroup.co.uk,enquiries@jakkycaregroup.co.uk,+44 20 3943 9915,Supported living,Homecare | Housing | Supported accommodation | Supported living,,2,2,Luton Council | Ealing,East of England | London,Local
Kempshire,kempshire.co.uk,http://kempshire.co.uk/,info@kempshire.co.uk,+44 7942 495459,Supported living,Community accommodation | Housing | Supported accommodation | Supported living,,2,3,Bolton Council | Peterborough City Council | Merton,East of England | London | North West,Regional
Key Transitions,westminster.gov.uk,https://www.westminster.gov.uk/health-and-social-care,adultsocialcare@westminster.gov.uk,+44 116 319 2530,Supported living,Asylum housing | Community accommodation | Housing | Supported accommodation | Supported living,,5,8,Northamptonshire County Council | Derby City Council | Cambridgeshire County Council | Peterborough City Council | North Northamptonshire Council,East Midlands | East of England | London | West Midlands,Regional
Lambeth Adults Supported Accommodation Pathway Framework,lambeth.gov.uk,https://www.lambeth.gov.uk/lambeth-data-hub/supported-living,asc@lambeth.gov.uk,020 7926 1000,Supported accommodation,Complex needs | Dual diagnosis | Housing | Mental health | Supported accommodation | Women services,,1,1,London Borough of Lambeth,London,Local
Lambeth Housing Related Support for High Risk Young People,lambeth.gov.uk,https://www.lambeth.gov.uk/support-care-leavers/housing-independent-living,asc@lambeth.gov.uk,020 7926 1000,Supported accommodation,Care leavers | High risk | Housing | Supported accommodation | Young people,,1,1,London Borough of Lambeth,London,Local
Lifeways Supported Independent Living,lifeways.co.uk,https://lifeways.co.uk,info@lifeways.co.uk,0333 321 4881,Supported living,Housing | Supported accommodation | Supported living,,1,1,Ealing,London,Local
Lilibet Court Care,lillibethealthcare.co.uk,https://www.lillibethealthcare.co.uk,info@lillibethealthcare.co.uk,01234 851 119,Supported living,Housing | Supported accommodation | Supported living,,1,1,Ealing,London,Local
Living Spring Solutions Care & Training,livingspringsolutions.co.uk,https://www.livingspringsolutions.co.uk,info@livingspringsolutions.co.uk,020 3417 0405,Supported living,Housing | Supported accommodation | Supported living,,1,1,London Borough of Lewisham,London,Local
Living Waters Services,livingwatersltd.co.uk,https://www.livingwatersltd.co.uk,admin@livingwatersltd.co.uk,024 7518 6190,Supported living,Housing | Supported accommodation | Supported living,,1,2,Westminster City Council | Warwickshire County Council,London | West Midlands,Regional
London Borough of Bromley Extra Care Housing Re-Procurement,bromley.gov.uk,https://www.bromley.gov.uk/extracarehousing,adultcommissioning@bromley.gov.uk,020 8464 3333,Housing,Extra care | Housing | Older people,,1,1,London Borough of Bromley,London,Local
London Borough of Islington Mental Health Accommodation Pathway,democracy.islington.gov.uk,https://democracy.islington.gov.uk/documents/s25987/Mental%20Health%20Accommodation%20Pathway%20Contract%20Award%20Report.pdf,adult.socialservices@islington.gov.uk,020 7527 2000,Supported accommodation,Floating support | Housing | Mental health | Supported accommodation,,1,1,Islington,London,Local
Look Ahead Care & Support,lookahead.org.uk,http://www.lookahead.org.uk/,getintouch@lookahead.org.uk,+44 20 7368 4600,Supported living,Care leavers | Community accommodation | Floating support | Homecare | Housing | Learning disabilities | Supported accommodation | Supported living,,5,15,Royal Borough of Kensington and Chelsea | Westminster City Council | Tower Hamlets | London Borough of Hackney | capitalEsourcing,East of England | London | South East,Regional
Mears Group,mearsgroup.co.uk,https://www.mearsgroup.co.uk/,enquiries@mearsgroup.co.uk,+44 1325 303720,Supported accommodation,Asylum housing | Dispersal accommodation | Emergency accommodation | Emergency housing | Housing | Move-on accommodation | Probation accommodation | Supported accommodation,,1,4,Bradford Metropolitan District Council | Cornwall Council | Ministry of Justice | Home Office,North East | North West | South West | Yorkshire & The Humber,Regional
Metropolitan Thames Valley Housing,mtvh.co.uk,https://www.mtvh.co.uk,communications@mtvh.co.uk,0203 535 3535,Supported living,Adults | Housing | Housing association | Supported living,,1,1,London Borough of Richmond upon Thames,London,Local
Midco Care,midco-care.co.uk,http://www.midco-care.co.uk/,info@midco-care.co.uk,+44 1733 530580,Supported living,Asylum housing | Community accommodation | Homecare | Housing | Supported accommodation | Supported living,,23,22,The Royal Borough of Kingston upon Thames | Luton Council | Northamptonshire County Council | Oxfordshire County Council | In-tend Limited,East Midlands | East of England | London | National | South East | West Midlands,Regional
New Directions Flexible Social Care Solution,ealing.gov.uk,https://www.ealing.gov.uk,ecirs@ealing.gov.uk,02922 670 540,Supported living,Housing | Supported accommodation | Supported living,,1,1,Ealing,London,Local
New Directions Flexible Social Care Solutions,new-directions.co.uk,https://www.new-directions.co.uk/health-social-care/,enquiries@new-directions.co.uk,+44 1727 602688,Supported living,Community accommodation | Homecare | Housing | Supported accommodation | Supported living,,7,4,The Royal Borough of Kingston upon Thames | Essex County Council | Luton Council | Royal Borough of Kingston Upon Thames,East of England | London,Regional
Newham PDPS Supported Accommodation Framework,newham.gov.uk,https://www.newham.gov.uk/housing/supported-housing,adultsocialcare.commissioning@newham.gov.uk,020 8430 2000,Supported accommodation,Care leavers | Housing | Looked after children | Semi-independent | Supported accommodation,,1,1,London Borough of Newham,London,Local
Newhaven 16 Plus,newhaven16plus.co.uk,https://newhaven16plus.co.uk,info@newhaven16plus.co.uk,020 8504 1000,Supported living,Housing | Supported accommodation | Supported living,,1,1,London Borough of Waltham Forest,London,Local
Next Step Care Management,nscm.co.uk,http://www.nscm.co.uk,info@nscm.co.uk,01737 365 060,Supported living,Housing | Supported accommodation | Supported living,,1,1,London Borough of Waltham Forest,London,Local
North & East London Care,walthamforest.gov.uk,https://www.walthamforest.gov.uk/adults-and-health,asc@walthamforest.gov.uk,020 8496 3000,Supported living,Housing | Supported accommodation | Supported living,,1,1,London Borough of Waltham Forest,London,Local
North Worcestershire Basement Project,basementproject.org,https://www.basementproject.org,info@basementproject.org,01527 832993,Supported living,Housing | Supported accommodation | Supported living,,1,1,Westminster,London,Local
Novo Healthcare,novohealthcare.co.uk,http://www.novohealthcare.co.uk/,info@novohealthcare.co.uk,+44 20 8187 7840,Supported living,Homecare | Housing | Supported accommodation | Supported living,,2,2,The Royal Borough of Kingston upon Thames | Royal Borough of Kingston Upon Thames,London,Local
Path4You,path4you.co.uk,https://path4you.co.uk,info@path4you.co.uk,0203 633 9939,Supported living,Housing | Supported accommodation | Supported living,,1,2,Westminster City Council | Warwickshire County Council,London | West Midlands,Regional
PCH Integration Services,pomanda.com,https://pomanda.com/company/11509149/pch-integration-services-ltd,adult.socialcare@merton.gov.uk,01733 555 555,Supported living,Community accommodation | Housing | Supported accommodation | Supported living,,1,2,Peterborough City Council | Merton,East of England | London,Local
Place of Progress,walthamforest.gov.uk,https://www.walthamforest.gov.uk,bianca@placeofprogress.org,0203 488 4089,Supported living,Housing | Supported accommodation | Supported living,,1,1,London Borough of Waltham Forest,London,Local
Pmse London,pmselondonltd.com,https://pmselondonltd.com,info@pmselondonltd.com,01895 437 760,Supported living,Housing | Supported accommodation | Supported living,,1,1,London Borough of Hillingdon,London,Local
Potensial,potens-uk.com,https://potens-uk.com/,info@potens-uk.com,+44 1287 201036,Supported living,Homecare | Housing | Supported accommodation | Supported living,,2,2,Redcar & Cleveland Borough Council | Croydon,London | North East,Local
Professional Supported Living,westminster.gov.uk,https://www.westminster.gov.uk/health-and-social-care,adultsocialcare@westminster.gov.uk,020 7641 6000,Supported living,Housing | Supported accommodation | Supported living,,1,2,Westminster City Council | Warwickshire County Council,London | West Midlands,Regional
Promises of Care,promisesofcare.co.uk,https://promisesofcare.co.uk,info@promisesofcare.co.uk,01902 587 099,Supported living,Housing | Supported accommodation | Supported living,,1,1,London Borough of Waltham Forest,London,Local
Providence Linc United Services,plus-uk.org,https://www.plus-uk.org,info@plus-uk.org,020 8297 1250,Supported living,Housing | Supported accommodation | Supported living,,1,1,London Borough of Lewisham,London,Local
Quality Care Surrey,yourqualitycare.com,https://www.yourqualitycare.com/,info@surreyqualitycare.uk,+44 20 8393 3544,Supported living,Homecare | Housing | Supported accommodation | Supported living,,2,2,Luton Council | Ealing,East of England | London,Local
Quaywest Housing,quaywestgroup.co.uk,https://quaywestgroup.co.uk/,info@quaywestgroup.co.uk,+44 333 772 1288,Supported living,Community accommodation | Housing | Supported accommodation | Supported living,,1,4,North Northamptonshire Council | Northamptonshire County Council | Westminster City Council | Warwickshire County Council,East Midlands | London | West Midlands,Regional
Raisso House,raissohouse.co.uk,https://raissohouse.co.uk,info@raissohouse.co.uk,024 7748 8800,Supported living,Housing | Supported accommodation | Supported living,,1,2,Westminster City Council | Warwickshire County Council,London | West Midlands,Regional
Rapha Healthcare,raphahealthcare.co.uk,http://www.raphahealthcare.co.uk/,hello@raphasanctuary.co.uk,+44 7495 130405,Supported living,Homecare | Housing | Supported accommodation | Supported living,,2,2,The Royal Borough of Kingston upon Thames | Royal Borough of Kingston Upon Thames,London,Local
Reach2Care Services,walthamforest.gov.uk,https://www.walthamforest.gov.uk/adults-and-health,asc@walthamforest.gov.uk,020 8496 3000,Supported living,Housing | Supported accommodation | Supported living,,1,1,London Borough of Waltham Forest,London,Local
Redbridge Supported Living Framework,redbridge.gov.uk,https://www.redbridge.gov.uk/adult-social-care/housing-and-support/,adultsocialservices@redbridge.gov.uk,020 8554 5000,Supported living,Autism | Housing | Learning disabilities | Mental health | Supported living,,1,1,London Borough of Redbridge,London,Local
Rethink Trading,rethink.org,https://www.rethink.org,info@rethink.org,0121 522 7007,Supported living,Housing | Supported accommodation | Supported living,,1,1,Croydon,London,Local
S & P Care Services,spcare.co.uk,http://spcare.co.uk/,hello@spcare.co.uk,+44 1296 841031,Supported living,Homecare | Housing | Supported accommodation | Supported living,,5,2,Luton Council | Ealing,East of England | London,Local
Samsara Homes,walthamforest.gov.uk,https://www.walthamforest.gov.uk/adults-and-health,asc@walthamforest.gov.uk,020 8496 3000,Supported living,Housing | Supported accommodation | Supported living,,1,1,London Borough of Waltham Forest,London,Local
Serco,serco.com,https://www.serco.com/,enquiries@serco.com,+44 121 569 6886,Emergency accommodation,Asylum housing | Dispersal accommodation | Emergency accommodation | Emergency housing | Housing,,1,1,Home Office,East Midlands | East of England | North West | West Midlands,Local
Sgsl,skyline-group.net,http://www.skyline-group.net/,jade@skyline-group.net,01992 367246,Supported living,Homecare | Housing | Supported accommodation | Supported living,,2,2,Luton Council | Ealing,East of England | London,Local
Silver Birch,silverbirchcare.com,https://silverbirchcare.com,info@silverbirchcare.com,020 8848 1800,Supported living,Housing | Supported accommodation | Supported living,,1,1,London Borough of Waltham Forest,London,Local
Sixteen Plus,sixteenplus.co.uk,http://www.sixteenplus.co.uk/,admin@sixteen-plus.co.uk,+44 1733 665106,Supported living,Asylum housing | Community accommodation | Emergency accommodation | Emergency housing | Housing | Supported accommodation | Supported living,,10,15,Peterborough City Council | Cambridgeshire County Council | Nottingham City Council | Bristol City Council | Derby City Council,East Midlands | East of England | London | North East | South West | West Midlands,Regional
Social Interest Group,socialinterestgroup.org.uk,https://socialinterestgroup.org.uk,enquiries@socialinterestgroup.org.uk,020 3668 9270,Supported living,Housing | Mental health step-down accommodation | Supported living,,1,1,London Borough of Enfield,London,Local
Soithside Partnership Certitude,certitude.london,https://certitude.london,info@certitude.london,020 8772 6222,Supported living,Housing | Supported accommodation | Supported living,,1,1,London Borough of Lewisham,London,Local
Southcroft Healthcare Lodge,southcroftlodge.co.uk,https://southcroftlodge.co.uk/,info@southcroftlodge.co.uk,+44 20 8764 9888,Supported living,Homecare | Housing | Supported accommodation | Supported living,,2,3,The Royal Borough of Kingston upon Thames | Croydon | Royal Borough of Kingston Upon Thames,London,Local
St Mungo's,mungos.org,https://www.mungos.org,info@mungos.org,020 3856 6000,Supported living,Emergency accommodation | Emergency housing | Housing | Supported living,,1,2,London Borough of Hounslow | Greater London Authority,London,Local
Starlight Support Services,starlightsupportservices.co.uk,http://www.starlightsupportservices.co.uk/,info@starlightsupportservices.co.uk,+44 121 231 7091,Supported living,Community accommodation | Housing | Supported accommodation | Supported living,,3,5,Northamptonshire County Council | Lincolnshire County Council | Peterborough City Council | Westminster City Council | Warwickshire County Council,East Midlands | East of England | London | West Midlands,Regional
Step Ahead Services,towerhamlets.gov.uk,https://www.towerhamlets.gov.uk/lgnl/health__social_care/adult_social_care,ASC.contactteam@towerhamlets.gov.uk,+44 20 8689 2965,Supported living,Asylum housing | Community accommodation | Emergency accommodation | Emergency housing | Housing | Supported accommodation | Supported living,,5,7,Tower Hamlets | Brighton & Hove City Council | Cambridgeshire County Council | Peterborough City Council | Derby City Council,East Midlands | East of England | London | South East,Regional
Step4Ward Services,step4wd.co.uk,https://step4wd.co.uk/,info@step4wd.co.uk,+44 121 358 7314,Supported living,Asylum housing | Housing | Supported accommodation | Supported living,,1,2,Tower Hamlets | London Borough of Waltham Forest,London,Local
Step4Ward Services Kent,step4wd.co.uk,https://step4wd.co.uk/,info@step4wd.co.uk,01843 220 944,Supported living,Homecare | Housing | Supported accommodation | Supported living,,2,1,London Borough of Waltham Forest,London,Local
