company_name,domain,website_url,email,phone,primary_category,sectors,in_network,total_contracts,councils_count,councils_top,regions,tier_hint
Key2 Futures Limited,key2.org.uk,https://www.key2.org.uk,info@key2.org.uk,01296 482001,Supported living,Asylum housing | Community accommodation | Emergency accommodation | Emergency housing | Housing | Supported accommodation | Supported living,yes,8,14,Cambridgeshire County Council | Warwickshire County Council | Peterborough City Council | Nottingham City Council | Leicestershire County Council,East Midlands | East of England | South East | South West | West Midlands,Regional
The Cyrenians (T/A Changing Lives),changing-lives.org.uk,https://www.changing-lives.org.uk,info@changing-lives.org.uk,0191 273 8891,Supported accommodation,Community accommodation | Housing | Supported accommodation,yes,8,1,Sunderland City Council,North East,Local
Turning Point,turning-point.co.uk,https://www.turning-point.co.uk,housing@turning-point.co.uk,020 7481 7600,Supported living,Community accommodation | Emergency accommodation | Homecare | Housing | Mental health | Supported accommodation | Supported living,yes,7,30,Bradford Metropolitan District Council | City of Bradford Metropolitan District Council | Milton Keynes Council | Wolverhampton City Council | Royal Borough of Kensington and Chelsea,East Midlands | East of England | London | National | North East | North West | South East | South West | West Midlands | Yorkshire & The Humber,National
Real Life Options,reallifeoptions.org,https://www.reallifeoptions.org,info@reallifeoptions.org,01924 763000,Supported living,Community accommodation | Homecare | Housing | Supported accommodation | Supported living,yes,7,9,Redcar & Cleveland Borough Council | South Tyneside Council | City of Bradford Metropolitan District Council | Bradford Metropolitan District Council | Calderdale Council,East Midlands | North East | South East | Yorkshire & The Humber,Regional
Voyage Care,voyagecare.com,https://www.voyagecare.com,referrals@voyagecare.com,0800 035 3776,Supported living,Homecare | Housing | Supported accommodation | Supported living,yes,7,8,Wolverhampton City Council | Leicester City Council | Cheshire west and Chester Borough Council | London Borough of Barnet Council | Milton Keynes Council,East Midlands | London | North West | South East | West Midlands | Yorkshire & The Humber,National
Caring for Communities and People,ccp.uk.net,https://www.ccp.uk.net,info@ccp.uk.net,01242 517717,Supported living,Asylum housing | Community accommodation | Emergency accommodation | Emergency housing | Homecare | Housing | Supported accommodation | Supported living,yes,6,6,Gloucestershire County Council | Herefordshire Council | Bristol City Council | Plymouth City Council | Wiltshire Council,South West | West Midlands,Regional
SAFE HAVEN ACCOMMODATION LTD,safehaven-group.co.uk,https://safehaven-group.co.uk/,info@safehavenaccommodation.co.uk,0113 288 8110,Supported living,Asylum housing | Community accommodation | Housing | Supported accommodation | Supported living,yes,6,6,Derby City Council | Bristol City Council | Leicestershire County Council | Northamptonshire County Council | Nottinghamshire County Council,East Midlands | South West | West Midlands,Regional
FitzRoy Support,fitzroy.org,https://www.fitzroy.org,info@fitzroy.org,01962 844708,Supported living,Community accommodation | Homecare | Housing | Supported accommodation | Supported living,yes,5,7,Cambridgeshire County Council | Hampshire County Council | Essex County Council | Nottinghamshire County Council | Oxfordshire County Council,East Midlands | East of England | South East | West Midlands | Yorkshire & The Humber,Regional
Hft,hft.org.uk,https://www.hft.org.uk,hello@hft.org.uk,0117 906 1699,Supported living,Community accommodation | Homecare | Housing | Supported accommodation | Supported living,yes,5,6,Cambridgeshire County Council | Calderdale Council | The Royal Borough of Kingston upon Thames | London Borough of Barnet Council | Bristol City Council,East Midlands | East of England | London | South West | Yorkshire & The Humber,Regional
Sense,sense.org.uk,https://www.sense.org.uk,enquiries@sense.org.uk,0300 330 9256,Supported living,Community accommodation | Homecare | Housing | Supported accommodation | Supported living,yes,5,8,Calderdale Council | Sheffield City Council | In-tend Limited | Hertfordshire County Council | Hertfordshire County Council  - Adult Care Services,East Midlands | East of England | London | National | Yorkshire & The Humber,Regional
Depaul UK,depauluk.org,https://www.depauluk.org,info@depauluk.org,020 7939 1220,Supported living,Community accommodation | Emergency accommodation | Emergency housing | Housing | Supported accommodation | Supported living,yes,5,6,London Borough of Bromley | North Tyneside Council | London Borough of Sutton | Cumbria County Council | Manchester City Council,London | North East | North West,Regional
The Salvation Army,salvationarmyhomes.org.uk,https://www.salvationarmyhomes.org.uk,allocations@salvationarmyhomes.org.uk,0333 010 4726,Supported living,Community accommodation | Emergency accommodation | Emergency housing | Housing | Supported accommodation | Supported living,yes,5,6,Milton Keynes Council | Suffolk County Council | Isle of Wight Council | Bradford Metropolitan District Council | Milton Keynes Council Electronic Tendering Site,East of England | South East | Yorkshire & The Humber,Regional
Adullam Homes Housing Association,adullam.org.uk,https://www.adullam.org.uk,info@adullam.org.uk,0121 236 3344,Supported living,Asylum housing | Community accommodation | Emergency accommodation | Emergency housing | Housing | Supported accommodation | Supported living,yes,5,8,Bolton Council | Leicestershire County Council | Lincolnshire County Council | Cambridgeshire County Council | Norfolk County Council,East Midlands | East of England | North West | West Midlands,Regional
Advance Housing & Support,advanceuk.org,https://www.advanceuk.org,info@advanceuk.org,01993 772886,Supported living,Community accommodation | Homecare | Housing | Supported accommodation | Supported living,yes,5,17,Luton Council | Leicester City Council | Ealing | Borough of Poole | Bournemouth Borough Council,East Midlands | East of England | London | National | South East | South West | West Midlands,Regional
Eden Futures,edenfutures.org,https://www.edenfutures.org,info@edenfutures.org,01636 650490,Supported living,Homecare | Housing | Supported living,yes,5,5,The Borough Council of Calderdale | Gloucestershire County Council | North East Lincolnshire Council | Nottinghamshire County Council | Sheffield City Council,East Midlands | South West | Yorkshire & The Humber,Regional
Peabody Trust,peabody.org.uk,https://www.peabody.org.uk,supported.housing@peabody.org.uk,0300 123 3456,Supported living,Asylum housing | Community accommodation | Homecare | Housing | Supported accommodation | Supported living,yes,5,5,Essex County Council | Tower Hamlets | Islington Council | London Borough Of Haringey | London Borough of Lewisham,East of England | London,Regional
Cornerstones Group Ltd,cornerstonesgroup.co.uk,https://www.cornerstonesgroup.co.uk,info@cornerstonesgroup.co.uk,0333 444 0990,Supported accommodation,Asylum housing | Community accommodation | Housing | Supported accommodation,yes,5,4,Derby City Council | Leicestershire County Council | Northamptonshire County Council | Nottinghamshire County Council,East Midlands,Local
Metropolitan Housing Trust,metropolitan.org.uk,https://www.metropolitan.org.uk,customerservices@metropolitan.org.uk,0300 123 1220,Supported living,Adults | Asylum housing | Community accommodation | Homecare | Housing | Learning disabilities | Supported accommodation | Supported living,yes,5,8,Essex County Council | London Borough of Hammersmith & Fulham | In-tend Limited | Hertfordshire County Council | Hertfordshire County Council  - Adult Care Services,East of England | London | National | Yorkshire & The Humber,Regional
ACHIEVE TOGETHER LIMITED,achievetogether.co.uk,https://www.achievetogether.co.uk,info@achievetogether.co.uk,01252 819786,Supported living,Emergency accommodation | Homecare | Housing | Supported living,yes,5,6,City of Bradford Metropolitan District Council | Bradford Metropolitan District Council | Cheshire west and Chester Borough Council | Derbyshire County Council | Bedford Borough Council,East Midlands | East of England | North West | Yorkshire & The Humber,Regional
Two Saints,twosaints.org.uk,https://www.twosaints.org.uk,enquiries@twosaints.org.uk,01962 844025,Supported accommodation,Asylum housing | Community accommodation | Emergency accommodation | Emergency housing | Housing | Supported accommodation,yes,5,5,Basingstoke & Deane Borough Council | West Berkshire District Council | Basingstoke and Deane Borough Council | Southampton City Council | West Berkshire Council,South East,Local
COMMUNITY INTEGRATED CARE,c-i-c.co.uk,https://www.c-i-c.co.uk,information@c-i-c.co.uk,01514 203637,Supported living,Community accommodation | Emergency accommodation | Emergency housing | Homecare | Housing | Supported accommodation | Supported living,yes,4,39,Bradford Metropolitan District Council | Redcar & Cleveland Borough Council | Halton Borough Council | City of Bradford Metropolitan District Council | Wigan Council,East Midlands | East of England | London | National | North East | North West | South East | South West | West Midlands | Yorkshire & The Humber,National
Julian House,julianhouse.org.uk,https://www.julianhouse.org.uk,info@julianhouse.org.uk,01225 354650,Emergency accommodation,Emergency accommodation | Emergency housing | Housing,yes,4,4,Basingstoke & Deane Borough Council | Basingstoke and Deane Borough Council | Dorset Council | Exeter City Council,South East | South West,Regional
St Anne's Community Services,st-annes.org.uk,https://www.st-annes.org.uk,enquiries@st-annes.org.uk,0113 243 5151,Supported living,Emergency housing | Homecare | Housing | Supported living,yes,4,5,Bradford Metropolitan District Council | South Tyneside Council | City of Bradford Metropolitan District Council | Calderdale Council | The Borough Council of Calderdale,North East | Yorkshire & The Humber,Regional
Framework Housing Association,frameworkha.org,https://www.frameworkha.org,info@frameworkha.org,0115 970 9987,Supported accommodation,Asylum housing | Community accommodation | Emergency accommodation | Emergency housing | Housing | Supported accommodation,yes,4,4,Nottinghamshire County Council | Nottingham City Council | Leicester City Council | North Lincolnshire Council,East Midlands | Yorkshire & The Humber,Regional
Centrepoint Soho,centrepoint.org,https://www.centrepoint.org,info@centrepoint.org,020 7689 6300,Supported living,Care leavers | Community accommodation | Emergency housing | Homecare | Housing | Supported accommodation | Supported living | Young people,yes,4,6,Bradford Metropolitan District Council | London Borough of Havering | Barnsley Metropolitan Borough Council | Manchester City Council | Newcastle City Council,London | North East | North West | Yorkshire & The Humber,Regional
accomplish group,accomplishgroup.co.uk,https://www.accomplishgroup.co.uk,info@accomplishgroup.co.uk,01978 360050,Supported living,Community accommodation | Homecare | Housing | Supported accommodation | Supported living,yes,4,5,Luton Council | Solihull MBC (SOL) | Bournemouth Borough Council | Northamptonshire County Council | Tower Hamlets,East Midlands | East of England | London | South West | West Midlands,Regional
HF TRUST LIMITED,hft.org.uk,https://www.hft.org.uk,hello@hft.org.uk,0117 906 1699,Supported living,Community accommodation | Homecare | Housing | Supported accommodation | Supported living,yes,4,5,Bradford Metropolitan District Council | Sheffield City Council | City of Bradford Metropolitan District Council | Essex County Council | The Royal Borough of Kingston upon Thames,East of England | London | Yorkshire & The Humber,Regional
Walsingham Support,walsinghamsupport.org.uk,https://www.walsinghamsupport.org.uk,info@walsinghamsupport.org.uk,01263 710000,Supported living,Community accommodation | Homecare | Housing | Supported accommodation | Supported living,yes,4,8,Redcar & Cleveland Borough Council | In-tend Limited | Hertfordshire County Council | Hertfordshire County Council  - Adult Care Services | Doncaster MBC,East of England | London | National | North East | West Midlands | Yorkshire & The Humber,Regional
Hightown Housing Association,hightownha.org.uk,https://www.hightownha.org.uk,enquiries@hightownha.org.uk,01442 292 300,Supported living,Community accommodation | Housing | Supported accommodation | Supported living,yes,4,3,Buckinghamshire Council | Buckinghamshire County Council | Milton Keynes Council,South East,Local
Alternative Futures Group,alternativefutures.co.uk,https://www.alternativefutures.co.uk,info@alternativefutures.co.uk,0151 291 9000,Supported living,Community accommodation | Emergency housing | Housing | Supported accommodation | Supported living,yes,4,5,Knowsley Council | Stockport Metropolitan Borough Council | Tameside Metropolitan Borough Council | Lancashire County Council | Cheshire west and Chester Borough Council,North West,Local
LiveWest Homes Ltd,livewest.co.uk,https://www.livewest.co.uk,hello@livewest.co.uk,0300 123 8080,Supported living,Community accommodation | Housing | Supported accommodation | Supported living,yes,4,4,Bristol City Council | Devon County Council | Plymouth City Council | Torbay Council,South West,Local
KEYRING - LIVING SUPPORT NETWORKS,keyring.org,https://www.keyring.org,keyring@keyring.org,020 7249 8749,Supported living,Housing | Supported accommodation | Supported living,yes,4,6,Rotherham Metropolitan Borough Council | Bath and North East Somerset Council | London Borough of Barnet Council | Nhs Humber & North Yorkshire Icb | North East Lincolnshire Council,London | South West | Yorkshire & The Humber,Regional
Consensus Community Support Limited,consensussupport.com,https://www.consensussupport.com,info@consensussupport.com,020 8253 0444,Supported living,Community accommodation | Homecare | Housing | Supported accommodation | Supported living,yes,3,3,Hampshire County Council | Northamptonshire County Council | Lancashire County Council,East Midlands | North West | South East,Regional
Hestia Housing and Support,hestia.org,https://www.hestia.org,info@hestia.org,020 7378 3100,Supported living,Community accommodation | Disabilities | Floating support | HIV | Homecare | Housing | Supported accommodation | Supported living,yes,3,6,The Royal Borough of Kingston upon Thames | London Borough of Lewisham | London Borough of Merton | London Borough of Croydon | Royal Borough of Kingston Upon Thames,London,Local
Autism East Midlands,autismeastmidlands.org.uk,https://www.autismeastmidlands.org.uk,info@autismeastmidlands.org.uk,01909 506 678,Supported living,Community accommodation | Emergency accommodation | Homecare | Housing | Supported accommodation | Supported living,yes,3,3,Northamptonshire County Council | Derbyshire County Council | Cambridgeshire County Council,East Midlands | East of England,Regional
Anglia Care Trust,angliacaretrust.org.uk,https://www.angliacaretrust.org.uk,info@angliacaretrust.org.uk,01449 615405,Supported living,Community accommodation | Housing | Supported accommodation | Supported living,yes,3,3,Suffolk County Council | East Suffolk Council | Ipswich Borough Council,East of England,Local
Cygnet Health Care Limited,cygnetgroup.com,https://www.cygnetgroup.com,info@cygnetgroup.com,020 8243 5100,Supported living,Emergency accommodation | Housing | Supported living,yes,3,2,Darlington Borough Council | Derbyshire County Council,East Midlands | North East,Regional
Valorum Care Ltd,valorumcare.co.uk,https://www.valorumcare.co.uk,enquiries@valorumcare.co.uk,01202 577 779,Supported living,Community accommodation | Emergency accommodation | Homecare | Housing | Supported accommodation | Supported living,yes,3,3,Redcar & Cleveland Borough Council | Northamptonshire County Council | Derbyshire County Council,East Midlands | North East,Regional
