name,current_website,current_phone,current_email,current_address,contracts,scope,status,step1_url_owner,step2_real_url,step3_services,step4_email,step4_phone,step4_contact,verdict,notes
Advance Housing & Support,https://www.advanceuk.org,01993 772886,info@advanceuk.org,,22,National,pending,,,,,,,,
Eden Futures,https://www.edenfutures.org,01636 650490,info@edenfutures.org,,6,Regional,pending,,,,,,,,
Peabody Trust,https://www.peabody.org.uk,0300 123 3456,supported.housing@peabody.org.uk,,5,Regional,pending,,,,,,,,
Cornerstones Group Ltd,https://www.cornerstonesgroup.co.uk,0333 444 0990,info@cornerstonesgroup.co.uk,,5,Local,pending,,,,,,,,
Metropolitan Housing Trust,https://www.metropolitan.org.uk,0300 123 1220,customerservices@metropolitan.org.uk,,10,Regional,pending,,,,,,,,
ACHIEVE TOGETHER LIMITED,https://www.achievetogether.co.uk,01252 819786,info@achievetogether.co.uk,,6,Regional,pending,,,,,,,,
Two Saints,https://www.twosaints.org.uk,01962 844025,enquiries@twosaints.org.uk,,8,Local,pending,,,,,,,,
COMMUNITY INTEGRATED CARE,https://www.c-i-c.co.uk,01514 203637,information@c-i-c.co.uk,,56,National,pending,,,,,,,,
Julian House,https://www.julianhouse.org.uk,01225 354650,info@julianhouse.org.uk,,4,Regional,pending,,,,,,,,
St Anne's Community Services,https://www.st-annes.org.uk,0113 243 5151,enquiries@st-annes.org.uk,,6,Regional,pending,,,,,,,,
Framework Housing Association,https://www.frameworkha.org,0115 970 9987,info@frameworkha.org,,4,Regional,pending,,,,,,,,
Centrepoint Soho,https://www.centrepoint.org,020 7689 6300,info@centrepoint.org,,7,Regional,pending,,,,,,,,
accomplish group,https://www.accomplishgroup.co.uk,01978 360050,info@accomplishgroup.co.uk,,9,National,pending,,,,,,,,
HF TRUST LIMITED,https://www.hft.org.uk,0117 906 1699,hello@hft.org.uk,,5,Regional,pending,,,,,,,,
Walsingham Support,https://www.walsinghamsupport.org.uk,01263 710000,info@walsinghamsupport.org.uk,,8,Regional,pending,,,,,,,,
Hightown Housing Association,https://www.hightownha.org.uk,01442 292 300,enquiries@hightownha.org.uk,,3,Local,pending,,,,,,,,
Alternative Futures Group,https://www.alternativefutures.co.uk,0151 291 9000,info@alternativefutures.co.uk,,5,Local,pending,,,,,,,,
LiveWest Homes Ltd,https://www.livewest.co.uk,0300 123 8080,hello@livewest.co.uk,,4,Local,pending,,,,,,,,
KEYRING - LIVING SUPPORT NETWORKS,https://www.keyring.org,020 7249 8749,keyring@keyring.org,,7,Regional,pending,,,,,,,,
Consensus Community Support Limited,https://www.consensussupport.com,020 8253 0444,info@consensussupport.com,,4,Regional,pending,,,,,,,,
Hestia Housing and Support,https://www.hestia.org,020 7378 3100,info@hestia.org,,6,Local,pending,,,,,,,,
Autism East Midlands,https://www.autismeastmidlands.org.uk,01909 506 678,info@autismeastmidlands.org.uk,,5,Regional,pending,,,,,,,,
Anglia Care Trust,https://www.angliacaretrust.org.uk,01449 615405,info@angliacaretrust.org.uk,,3,Local,pending,,,,,,,,
Cygnet Health Care Limited,https://www.cygnetgroup.com,020 8243 5100,info@cygnetgroup.com,,4,Regional,pending,,,,,,,,
Valorum Care Ltd,https://www.valorumcare.co.uk,01202 577 779,enquiries@valorumcare.co.uk,,5,Regional,pending,,,,,,,,
Making Space,https://makingspace.org/,+44 23 9247 2491,hello@makingspace.org,,16,National,pending,,,,,,,,
Voyage,https://www.voyagemaison.com/,+44 113 539 9896,hello@voyagemaison.com,,17,National,pending,,,,,,,,
Caretech Community Services,https://www.caretech-uk.com,01707 601 800,info@caretech-uk.com,,23,National,pending,,,,,,,,
MidCo Care Limited,http://www.midco-care.co.uk/,+44 1733 530580,,,24,Regional,pending,,,,,,,,
United Response,https://www.unitedresponse.org.uk,0800 0884 377,info@unitedresponse.org.uk,,15,Regional,pending,,,,,,,,
Potens,https://potens-uk.com/,+44 1772 700371,info@potens-uk.com,,11,Regional,pending,,,,,,,,
North East Supported Tenancies Limited,http://www.nestcare.uk/,+44 191 406 3522,karliseeds@nestcare.uk,,2,Local,pending,,,,,,,,
Nottingham Community Housing Association,http://www.ncha.org.uk/,+44 800 013 8555,,,12,Regional,pending,,,,,,,,
Independent Living Project,https://www.independenceinitiative.org/,+44 151 345 6639,info@independenceinitiative.org,,2,Local,pending,,,,,,,,
Jordan Xavier Ltd,http://jordanxavier.co.uk/,+44 20 8238 5535,info@jordanxavier.co.uk,,17,Regional,pending,,,,,,,,
Keys PCE Limited,http://www.keys-group.co.uk/,+44 121 728 7800,,,19,National,pending,,,,,,,,
MacIntyre,https://www.macintyrecharity.org,01908230100,Enquiries@argyll-bute.gov.uk,,14,Regional,pending,,,,,,,,
PossAbilities CIC,https://www.possabilities.org.uk/,+44 1706 692181,,,9,Regional,pending,,,,,,,,
Sixteen Plus,https://www.sixteenplus.co.uk,01702 555 466,info@sixteenplus.co.uk,,15,Regional,pending,,,,,,,,
Aspirations Care,http://www.aspirations-support.co.uk/,+44 117 965 1447,ninfo@aspirations-support.co.uk,,20,National,pending,,,,,,,,
Ability Options Ltd,https://abilityoptions.co.uk/,+44 345 301 1120,info@abilityoptions.co.uk,,2,Regional,pending,,,,,,,,
Stonewater Ltd,http://www.stonewater.org/,+44 1202 319119,customers@stonewater.org,,3,Regional,pending,,,,,,,,
1st Enable Ltd,https://www.1stenable.co.uk/,+44 151 318 2330,enquiries@1stenable.co.uk,,4,Regional,pending,,,,,,,,
Aleyah House,https://www.aleyahhousing.co.uk/,,info@aleyahousing.co.uk,,1,Local,pending,,,,,,,,
Prefer Homes,http://www.preferhomes.co.uk/,+44 500799,enquiries@preferhomes.co.uk,,1,Local,pending,,,,,,,,
Look Ahead Housing and Care,https://www.lookahead.org.uk,020 7937 1166,info@lookahead.org.uk,,4,Local,pending,,,,,,,,
The Disabilities Trust,https://www.thedtgroup.org/,+44 1323 769196,info@brainkind.org,,3,Regional,pending,,,,,,,,
Alpha Health and Social Care Services Ltd,https://alpha-health-social-care-professionals.ueniweb.com/?utm_campaign=gmb,+44 333 577 4565,info@alphahealth.care,,3,Regional,pending,,,,,,,,
Apex Pathway,http://www.apexpathway.co.uk/,+44 113 426 5934,headoffice@apexpathway.co.uk,,2,Local,pending,,,,,,,,
Aspire Healthcare Limited,https://aspirehealthcare.co.uk/,+44 191 279 0989,info@aspirehealthcare.co.uk,,3,Local,pending,,,,,,,,
CHS Group,http://www.chsgroup.org.uk/,+44 300 111 3555,lpap@chsgroup.org.uk,,3,Local,pending,,,,,,,,
Call4care Services Limited,https://call4.care/term-conditions,+44 7585 383237,info@call4.care,,4,Regional,pending,,,,,,,,
Care Solutions Group,https://care-solutionsgroup.com,020 8825 5000,info@care-solutionsgroup.com,,5,Regional,pending,,,,,,,,
Caremark (Redcar & Cleveland),https://www.caremark.co.uk/redcar-and-cleveland/,+44 1287 634706,redcar@caremark.co.uk,,1,Local,pending,,,,,,,,
Catholic Care,https://www.stpetersaberdeen.com/,+44 1224 621581,info@catholic-care.org.uk,,3,Local,pending,,,,,,,,
Catholic Care (diocese of Leeds ),http://www.catholic-care.org.uk/,+44 113 388 5400,info@catholic-care.org.uk,,5,Local,pending,,,,,,,,
Empowered Lives Limited,http://personalisedsupport.org/,+44 1274 403941,Empoweredlives@live.co.uk,,2,Local,pending,,,,,,,,
Leonard Cheshire Disability,https://www.leonardcheshire.org/,02032420200,info@leonardcheshire.org,,9,Regional,pending,,,,,,,,
Perthyn,http://www.perthyn.org.uk/,+44 1792 311980,info@perthyn.org.uk,,4,Regional,pending,,,,,,,,
Places for People Living+ Limited,https://www.placesforpeople.co.uk/,+44 1772 667002,recruitment@placesforpeople.co.uk,,5,Regional,pending,,,,,,,,
Restorative Social Care Services,https://restorativescs.co.uk/,+44 1422 380588,info@restorative-scs.co.uk,,2,Local,pending,,,,,,,,
Salvation Army Housing Association,https://www.salvationarmyhomes.org.uk/,+44 800 970 6363,info@salvationarmyhomes.org.uk,,7,Regional,pending,,,,,,,,
St Annes,http://www.stannesparishchurch.org/,+44 1253 722736,stannesparishoffice73@gmail.com,,1,Local,pending,,,,,,,,
The Housing Network,https://thehousingnetwork.co.uk/,,office@thehousingnetwork.co.uk,,9,Regional,pending,,,,,,,,
Trident Reach the People Charity,https://www.tridentgroup.org.uk/,+44 121 226 5800,communications@tridentgroup.org.uk,,2,Local,pending,,,,,,,,
Young Devon,https://www.youngdevon.org/,+44 1392 331666,info@youngdevon.org,,3,Local,pending,,,,,,,,
sunrise rehabilitation centre,https://www.sunrise-recovery.co.uk/,+44 800 731 2586,,,2,Local,pending,,,,,,,,
Lifeways,http://lifewaystherapycentre.com/,+44 1789 292052,info@lifewaystherapycentre.com,,4,Regional,pending,,,,,,,,
Moving Up Care,https://movingupcare.com/,,enquiries@movingupcare.com,,12,Regional,pending,,,,,,,,
Abiding,https://www.abidingcare.co.uk,020 3794 9775,info@abidingcare.co.uk,,7,Regional,pending,,,,,,,,
Bethphage,https://bethphage.co.uk/,+44 1743 272880,enquiries@bethphage.co.uk,,3,Local,pending,,,,,,,,
Caredom Healthcare,http://www.caredomhealthcare.co.uk/contact.html,+44 7748 133029,admin@caredomhealthcare.co.uk,,2,Regional,pending,,,,,,,,
Connection Floating Support,https://www.connectionsupport.org.uk/,+44 1865 711267,enquiries@connectionsupport.org.uk,,3,Regional,pending,,,,,,,,
Elim Housing Association,http://www.elimhousing.co.uk/home,+44 1454 411172,info@elimhousing.co.uk,,2,Local,pending,,,,,,,,
Gray Healthcare,http://www.grayhealthcare.com/,+44 151 255 2830,info@grayhealthcare.com,,5,Regional,pending,,,,,,,,
Inicio Group Ltd,http://www.inicio-group.co.uk/,+44 161 418 4180,hello@inicio-group.co.uk,,7,Regional,pending,,,,,,,,
Langley House Trust,https://www.langleytrust.org/,+44 1524 64950,info@langleytrust.org,,4,Regional,pending,,,,,,,,
Look Ahead Care & Support,https://www.lookahead.org.uk,020 7937 1166,info@lookahead.org.uk,,18,Regional,pending,,,,,,,,
Primetime Care Services Limited,https://primetimecareservices.uk/,+44 7736 543584,info@primetimecareservices.co.uk,,5,Regional,pending,,,,,,,,
Quality Care (EM) Ltd,https://allhealthandcare.co.uk/care-home-hq/A75J,+44 1623 512850,info@allhealthandcare.co.uk,,3,Local,pending,,,,,,,,
ROC Group Family Support,https://www.rocfamilysupport.co.uk/,+44 1325 310009,info@rocgroup.org.uk,,2,Local,pending,,,,,,,,
ROC Solid limited,https://www.rocgroup.org.uk/,+44 1325 310009,info@rocgroup.org.uk,,2,Local,pending,,,,,,,,
S & P Care Services,https://spcare.co.uk,020 8825 5000,info@spcare.co.uk,,2,Local,pending,,,,,,,,
"Salutem LD BidCo IV Limited, trading as Ambito Care and Educatio",https://salutemcareandeducation.co.uk/,+44 1753 255777,enquiries@salutemsharedservices.co.uk,,7,Regional,pending,,,,,,,,
Sanctuary Housing Association trading as Sanctuary Supported Liv,https://www.sanctuary-housing.co.uk/,+44 800 131 3348,,,5,Regional,pending,,,,,,,,
Sanctuary Supported Living,https://www.sanctuary-supported-living.co.uk/,+44 1424 436383,pr@sanctuary.co.uk,,4,Regional,pending,,,,,,,,
St Christopher Homes Limited,https://www.stchristopherhomes.com/about-us/,+44 7949 512220,info@stchristopherhomes.com,,4,Regional,pending,,,,,,,,
Step by Step Partnership Ltd,https://www.stepbystep.org.uk/,+44 1252 346100,launch@stepbystep.org.uk,,3,Local,pending,,,,,,,,
The Cyrenians Ltd,http://www.coventrycyrenians.co.uk/,+44 131 475 2354,info@coventrycyrenians.org,,8,Regional,pending,,,,,,,,
The YOU Trust,http://theyoutrust.org.uk/,+44 1329 825930,enquiries@theyoutrust.org.uk,,6,Regional,pending,,,,,,,,
Vision Homes Association,http://www.visionhomes.org.uk/,+44 121 434 4644,helen.betts-patel@visionhomes.org.uk,,3,Regional,pending,,,,,,,,
Rethink,https://www.rethinkuw.com/,,,,2,Regional,pending,,,,,,,,
1625 Independent People,https://www.1625ip.co.uk/,+44 117 317 8800,enquiries@1625ip.co.uk,,1,Local,pending,,,,,,,,
3BN Care Ltd,http://3bncare.co.uk/,+44 7490 530005,info@3bncare.co.uk,,2,Local,pending,,,,,,,,
A2Dominion Group,http://www.a2dominion.co.uk/,+44 800 432 0077,enquiries@tsgplc.co.uk,,4,Regional,pending,,,,,,,,
ANEW Young People Services Ltd,https://www.anew.org.uk/,+44 1743 730005,edsmith@anew.org.uk,,10,Regional,pending,,,,,,,,
Arch Healthcare Ltd,https://archcommunity.co.uk/,+44 113 235 0791,info@archcommunity.co.uk,,3,Local,pending,,,,,,,,
Assisted Living Care Group Ltd,http://www.alcg.co.uk/,+44 1604 550071,info@alcg.co.uk,,3,Regional,pending,,,,,,,,
Achieving Higher Heights Ltd,https://www.achieving-higher-heights.co.uk/contact-us/,+44 7791 642859,,,5,Regional,pending,,,,,,,,
Action for Children Services Limited,https://service.actionforchildren.org.uk/employability-scotland/our-programmes/,+44 1563 572479,ask.us@actionforchildren.org.uk,,4,Regional,pending,,,,,,,,
Ashlotrimcare LTD,https://ashlotrimcareltd.co.uk/,+44 7546 450674,info@ashlotrimcareltd.co.uk,,3,Regional,pending,,,,,,,,
Authentic Kare Company,https://authentickare.co.uk/about-us/,+44 1536 527440,info@authentickare.co.uk,,3,Regional,pending,,,,,,,,
Berry Gifford Ltd,http://www.berrygifford.co.uk/,+44 121 389 4914,help@voiceyp.org,,6,Regional,pending,,,,,,,,
Bradnet,https://www.bradnet.org.uk/,+44 1274 224444,info@bradnet.org.uk,,2,Local,pending,,,,,,,,
Caring Collective Ltd,https://thecarecollective.wales/,+44 1495 769996,,,2,Local,pending,,,,,,,,
Chance Transitional Supported Living Ltd,http://www.transitionhousing.org/,+44 20 8287 9627,info@transitionhousing.org,,1,Local,pending,,,,,,,,
Craegmoor Supporting You Limited,https://www.beyondautism.org.uk/about-autism/services/craegmoor-supporting-you-in-rotherham/,+44 141 641 2108,info@beyondautism.org.uk,,9,Regional,pending,,,,,,,,
Care Support MK Ltd,https://www.caresupportmk.co.uk/contact-us/,+44 1908 889043,info@caresupportmk.co.uk,,1,Local,pending,,,,,,,,
Catalyst Housing,https://www.peabody.org.uk,0300 123 3456,customerservice@peabody.org.uk,,2,Local,pending,,,,,,,,
Cheltenham YMCA,https://www.ymcacheltenham.com/,+44 1242 524024,joel.layton@ymcacheltenham.com,,2,Local,pending,,,,,,,,
Cherish UK,https://www.cherish-uk.com/,+44 121 354 4777,lancashire@cherishuk.co.uk,,1,Local,pending,,,,,,,,
Community Support Services,https://www.communitysupportservices.co.uk/,+44 121 769 3289,info@communitysupportivehousing.co.uk,,3,Regional,pending,,,,,,,,
Darare Limited t/a DarSarno Care Services,http://www.darsarnocare.co.uk/,+44 800 368 8892,office@darsarnocare.co.uk,,2,Regional,pending,,,,,,,,
Eden Housing and Support Ltd,https://edenhousing.co.uk/contact-us/,+44 7534 663697,support@edenhousing.co.uk,,3,Regional,pending,,,,,,,,
Eden Supported Living,http://www.edenfutures.org/,+44 330 024 0039,info@edenfutures.org,,11,National,pending,,,,,,,,
Education and Services for People with Autism Ltd,http://www.espa.org.uk/,+44 191 285 9891,humanresources@espa.org.uk,,3,Local,pending,,,,,,,,
Embrace Group Ltd,http://embracegroup.co/,+44 1743 650646,info@theembracegroup.co.uk,,3,Regional,pending,,,,,,,,
Embrace Healthcare Ltd,http://www.embracehealthcare.co.uk/,+44 1302 481515,,,3,Local,pending,,,,,,,,
Future Directions Cic,http://www.futuredirectionscic.co.uk/,+44 161 769 9000,info@futuredirectionscic.co.uk,,4,Regional,pending,,,,,,,,
FitzRoy,https://fitzroy.org/,,,,7,Regional,pending,,,,,,,,
ForeverCare,https://www.forevercareftj.com/,+44 191 435 8557,,,4,Regional,pending,,,,,,,,
Gb Healthcare Group Ltd,https://www.gbhealthcare.co.uk/pages/contact-gb-healthcare,+44 7476 443735,,,1,Local,pending,,,,,,,,
Genesis Housing Association,http://www.nhg.org.uk/,+44 20 3815 0000,info@nhg.org.uk,,2,Regional,pending,,,,,,,,
Horizon care and Education,http://horizoncare.co.uk/,+44 1543 570304,enquiries@horizoncare.co.uk,,5,Regional,pending,,,,,,,,
Humankind Charity,https://waythrough.org.uk/,+44 1325 731160,pressoffice@waythrough.org.uk,,6,Regional,pending,,,,,,,,
Individual Care Services Ltd,http://www.individualcare.org.uk/,+44 1527 857280,Dave.Hartley@individualcare.org.uk,,4,Local,pending,,,,,,,,
Jolis Care Ltd,http://joliscare.co.uk/,+44 7961 716091,info@joliscare.co.uk,,3,Local,pending,,,,,,,,
Kay Healthcare Limited,https://kayhealthcare.co.uk/,+44 7477 920225,info@kayhealthcare.co.uk,,2,Regional,pending,,,,,,,,
KeyRing Living Support Network,http://www.keyring.org/,+44 20 3119 0960,enquiries@keyring.org,,2,Regional,pending,,,,,,,,
Living Ambitions,https://www.lifeways.co.uk/our-services/residential-care,+44 20 8647 1271,,,8,Regional,pending,,,,,,,,
Metropolitan Care Services Limited,http://www.metropolitancare.co.uk/,+44 20 8594 6888,enquiries@metropolitancare.co.uk,,2,Regional,pending,,,,,,,,
Msa Supported Living Ltd,https://www.msasupportedliving.co.uk/,+44 1535 329056,info@msasupportedliving.co.uk,,2,Local,pending,,,,,,,,
Mary Seacole Housing Association Ltd,http://www.maryseacoleha.com/,+44 1582 415651,mail@maryseacoleha.com,,2,Local,pending,,,,,,,,
Northern Healthcare Limited,https://www.northernhealthcare.org.uk/services/north-west/holland-house/,+44 161 974 7210,contact@northernhealthcare.org.uk,,3,Regional,pending,,,,,,,,
Next Steps Ltd,http://www.nextstepsuk.com/,+44 1707 332404,,,4,Regional,pending,,,,,,,,
Northern Community Pathway Children Residential Service,https://www.ncpl.co.uk/,+44 1208 834600,info@ncpl.co.uk,,1,Local,pending,,,,,,,,
Northern Community Pathways Limited,https://northernhealthcare.org.uk/,+44 117 906 0100,officesupport@bristoldiocese.org,,3,Local,pending,,,,,,,,
Oakfield (Easton Maudit) Limited,https://www.oakfieldhome.org.uk/,+44 1604 753268,INFO@OAKFIELDCOMMUNITY.ORG.UK,,6,Regional,pending,,,,,,,,
Outward Housing,https://www.outward.org.uk/,+44 20 8980 7101,info@outward.org.uk,,2,Local,pending,,,,,,,,
P&N Healthcare Services,http://pnhealthcare.com/,+44 330 133 6233,info@pnhealthcare.com,,2,Regional,pending,,,,,,,,
Private & Confidential,http://www.confidentialsolutions.com/,+44 844 967 0703,info@confidentialsolutions.com,,1,Local,pending,,,,,,,,
Q Care Ltd,https://qcare.co.uk/sw-home-page/,+44 29 2067 4920,info@q-care.co.uk,,1,Local,pending,,,,,,,,
Serenity Inmind Limited,http://www.serenityinmind.co.uk/,+44 116 201 4462,info@serenityinmind.co.uk,,3,Regional,pending,,,,,,,,
SeeAbility,http://www.seeability.org/,+44 1372 755000,enquiries@seeability.org,,6,Regional,pending,,,,,,,,
Single Homeless Project(the),https://www.shp.org.uk/,+44 20 7636 1894,info@shp.org.uk,,2,Local,pending,,,,,,,,
Solutions in Service Ltd,http://www.sis.care/,+44 1244 649056,enquiries@sis.care,,1,Local,pending,,,,,,,,
Sun Healthcare Ltd,http://www.sunhealthcare.co.uk/,+44 1226 323670,keith.bush@sunhealthcare.org,,4,Regional,pending,,,,,,,,
Swanton Care and Community Limited,https://www.swantoncare.com/,+44 24 7518 7450,info@swantoncare.com,,7,Regional,pending,,,,,,,,
Together We Care Ltd,http://www.togetherwecareltd.co.uk/,+44 1274 449987,info@togetherwecareltd.co.uk,,2,Local,pending,,,,,,,,
Target Housing Limited,https://targethousing.org.uk/,+44 330 202 0403,info@targethousing.org.uk,,5,Local,pending,,,,,,,,
The Camden Society,http://www.thecamdensociety.co.uk/,+44 300 303 1280,tcsoffice@thera.co.uk,,4,Regional,pending,,,,,,,,
The Mayfield Trust,http://mayfield-trust.org.uk/,+44 1422 322552,info@mayfield-trust.org.uk,,2,Local,pending,,,,,,,,
Valeo Limited,https://www.valeoservice.co.uk/en-uk,+44 1527 838300,benelux.orders.mailbox@valeo.com,,2,Local,pending,,,,,,,,
Walsingham,https://www.walsingham.org.uk/,,,,5,Regional,pending,,,,,,,,
We Care Nursing Services Ltd.,https://wecare-co-uk.ueniweb.com/?utm_campaign=gmb,+44 330 055 3286,,,5,Regional,pending,,,,,,,,
Westward Housing Group,http://www.westwardhousing.org.uk/,+44 300 100 1010,info@westwardhousing.org.uk,,2,Local,pending,,,,,,,,
Young People First,http://youngpeoplefirst.org.uk/,+44 7511 931101,info@youngpeoplefirst.org.uk,,3,Regional,pending,,,,,,,,
Gateway Care Services Limited,https://www.gatewaycareservice.com/,+44 20 8320 1234,info@gatewaycareservice.co.uk,,2,Local,pending,,,,,,,,
Nacro,https://www.nacro.org.uk/,+44 300 123 1889,contactus@nacro.org.uk,,4,Regional,pending,,,,,,,,
Praxis Care,https://www.praxiscare.org/,+44 28 9023 4555,info@praxiscare.ie,,2,Regional,pending,,,,,,,,
Anew,https://anewcounsellingandtraining.co.uk/,+44 7934 534008,,,2,Local,pending,,,,,,,,
Avalon Group (social Care),https://www.avalongroup.org.uk/,+44 1423 530053,enquire@avalongroup.org.uk,,3,Local,pending,,,,,,,,
Access Community Services Ltd,https://acsaccessltd.co.uk/,+44 1502 527200,emma.ratzer@accessct.org,,3,Regional,pending,,,,,,,,
Active Prospects,http://www.activeprospects.org.uk/,+44 1737 924084,info@activeprospects.org.uk,,2,Local,pending,,,,,,,,
Alive Health Care Intl Ltd,https://www.alivehealthcareint.co.uk/,+44 7383 416667,contact@alivehealthcareint.co.uk,,4,Regional,pending,,,,,,,,
Alves iCare Ltd,http://alvesicare.co.uk/,+44 1733 857580,office@alvesicare.co.uk,,2,Regional,pending,,,,,,,,
Anglo Support and Housing Ltd,http://anglosupport.co.uk/,+44 117 235 7352,info@anglosupport.co.uk,,3,Regional,pending,,,,,,,,
Ara,https://ara.wales/,+44 1407 493015,araflooringsolutions@gmail.com,,1,Local,pending,,,,,,,,
Arthur Morrison Ltd,https://www.amcs.ltd/,+44 20 3837 4954,Info@amcareservices.co.uk,,2,Regional,pending,,,,,,,,
Aspects Care Limited,http://www.aspectscare.co.uk/,+44 121 433 2500,,,6,Regional,pending,,,,,,,,
Asylum Welcome,https://www.asylum-welcome.org/,+44 1865 722082,office@asylum-welcome.org,,2,Local,pending,,,,,,,,
Autism Hampshire,https://autismhampshire.org.uk/,+44 1489 880881,info@autismhampshire.org.uk,,1,Local,pending,,,,,,,,
Avalon Group,https://www.avalongroup.org.uk/,+44 1723 356540,enquire@avalongroup.org.uk,,5,Regional,pending,,,,,,,,
Bondcare Medical Services Ltd,https://www.bondcare.co.uk/?utm_source=google&utm_medium=GMB&utm_campaign=Bondcare,+44 20 8202 2277,admin@bondcare.co.uk,,1,Local,pending,,,,,,,,
Baca,https://www.baca-uk.org.uk/,,office@baca-uk.org.uk,,4,Regional,pending,,,,,,,,
Balance (Support) CIO,http://www.balancesupport.org.uk/,+44 20 3740 2315,guy.stevenson@balancesupport.org.uk,,2,Local,pending,,,,,,,,
Blossom24 Healthcare & Training Ltd,https://blossom24careandtraining.com/,,Info@Blossom24careandtraining.com,,2,Regional,pending,,,,,,,,
The Brandon Trust,https://www.brandontrust.org/,+44 1209 610209,info@brandontrust.org,,5,Regional,pending,,,,,,,,
Caysh,http://www.caysh.org/,+44 20 8683 0227,info@caysh.org,,2,Local,pending,,,,,,,,
Comfort Care Services (UK) Ltd,http://www.comfortcareservices.com/,+44 1628 600412,enquiries@comfortcareservices.com,,2,Local,pending,,,,,,,,
Coquet Trust,https://www.coquettrust.org.uk/,+44 191 285 9270,enquiries@coquettrust.org.uk,,3,Local,pending,,,,,,,,
Crewe YMCA,https://ymcacheshire.org.uk/,+44 1270 257673,info@ymcacheshire.org.uk,,1,Local,pending,,,,,,,,
Crown Social Care,http://crownsocialcare.org.uk,020 3859 6280,info@crownsocialcare.org.uk,,5,Regional,pending,,,,,,,,
Elite Care UK,http://www.elitecarerecruitment.com/,+44 1576 203934,lynseyrennie@elitecareltd.com,,7,Regional,pending,,,,,,,,
Emerging Futures CIC,https://www.emergingfutures.org.uk/,+44 333 012 4714,info@emergingfutures.org.uk,,2,Regional,pending,,,,,,,,
EnhanceAble,http://www.enhanceable.org/,+44 330 232 0186,chloe.binala@enhanceable.org,,2,Local,pending,,,,,,,,
Essential Care and Support,https://www.essentialcaresupport.co.uk/,+44 191 389 6337,info@essentialsupportltd.co.uk,,6,Local,pending,,,,,,,,
